"TaxonCode","ScientificName","CommonName","LifeForm","HabitatVicForest","Broad_habitat","OpenCountryTolernat_Jradford","FeedGuild","Diet_viaHlada_simplifiedARI_ReadersDigest","NestGuildVicForest","HollowDep","Status","Migration","TaxonGroup","Weight_mean.g","BroodSize_mean","Egg_mass_Lislevand_g","Mating_System_Lislevand","genus"
10508,"Cincloramphus cruralis","Brown Songlark","Passerine Birds","O","O","O","OG","I","G",0,0,"SP","passerine40g",51.5,3.5,3.61,4,"Cincloramphus"
10519,"Dasyornis brachypterus brachypterus","Eastern Bristlebird","Passerine Birds","F","F","F","DG","I","V",0,0,"N","passerine40g",42.5,2.5,5.1,2,"Dasyornis"
10543,"Artamus leucorynchus","White-breasted Woodswallow","Passerine Birds","F","F","T","A","I","V",0,0,"S","passerine40g",41,3.5,5.2925,2,"Artamus"
10635,"Manorina flavigula","Yellow-throated Miner","Passerine Birds","O","O","T","N","I","V",0,0,"N","passerine40g",55,3,4.87,2,"Manorina"
10637,"Anthochaera chrysoptera","Little Wattlebird","Passerine Birds","F","F","F","N","N","V",0,0,"N","passerine40g",67.5,2,5.2925,2.15384615384615,"Anthochaera"
10638,"Anthochaera carunculata","Red Wattlebird","Passerine Birds","F","F","F","N","N","V",0,0,"C","passerine40g",44.5,2,7.69,2,"Anthochaera"
10646,"Philemon citreogularis","Little Friarbird","Passerine Birds","F","F","F","N","N","V",0,0,"SP","passerine40g",65,2.5,5.22,2,"Philemon"
10967,"Manorina melanotis","Black-eared Miner","Passerine Birds","F","F","F","N","I","V",0,0,"N","passerine40g",55,2.5,5.2925,2.15384615384615,"Manorina"
10992,"Turdus philomelos","Song Thrush","Passerine Birds","O","T","F","OG","I","V",0,0,"N","passerine40g",70,4.7,6,2,"Turdus"
10350,"Menura novaehollandiae","Superb Lyrebird","Non-passerine Birds","F","F","F","DG","I","V",0,0,"N","passerine75g",972.5,1,61.5,5,"Menura"
10415,"Grallina cyanoleuca","Magpie-lark","Passerine Birds","O","O","O","OG","I","V",0,0,"N","passerine75g",85,3.5,6.4,2,"Grallina"
10423,"Coracina maxima","Ground Cuckoo-shrike","Passerine Birds","O","S","T","OG","I","V",0,0,"C","passerine75g",115,2.5,13.6558823529412,2.47619047619048,"Coracina"
